fs_kSps,Samples_per_carrier,TIA_AAF_gain_at_Nyquist_dB,Zero_bias_deg_s,Zero_sigma_deg_s,Zero_sigma_deg_h,Sigma_factor_vs_analog_v4_1
500,25,-21.90687768401,9.82363626062715e-06,1.67276862856455e-05,0.060219670628324,0.836420763408295
1000,50,-50.4339646193995,3.61851497521702e-06,1.31709728617181e-05,0.047415502302185,0.658577342240193
2000,100,-80.0624338683028,4.19050621265441e-06,1.52297105570087e-05,0.0548269580052315,0.761518712932333
