AAF_fc_kHz,AAF_gain_at_20kHz,AAF_phase_lag_at_20kHz_deg,TIA_AAF_gain_at_Nyquist_dB,Zero_bias_deg_s,Zero_sigma_deg_s,Zero_sigma_deg_h,Sigma_factor_vs_analog_v4_1
80,0.99999237069278,37.7666275859943,-72.2737833185161,-8.56322986554585e-06,2.81410663488119e-05,0.101307838855723,1.40711463597898
100,0.999998720002459,30.1138289633452,-64.5209915305159,3.38994262665124e-06,2.33037017088606e-05,0.0838933261518982,1.16523586350915
150,0.999999950056398,20.0123507846177,-50.4339646193995,4.41845154927563e-06,3.05624256855851e-05,0.110024732468106,1.52818787888691
