Source_power_mW,Predicted_TIA_peak_V,Attenuation_to_0p9mW_dB,Needs_attenuation_for_10pct_ADC_headroom
0.5,0.816925626,0.0,0
0.8,1.3070810016,0.0,0
1.0,1.633851252,0.457574905606751,0
1.2,1.9606215024,1.249387366083,1
2.5,4.08462813,4.43697499232713,1
22.0,35.944727544,13.8818017138288,1
40.0,65.35405008,16.4781748188864,1
