Extinction_ratio_dB,Leakage_power_ratio,Calibrated_visibility,Visibility_penalty_percent
20,0.01,0.98019801980198,1.98019801980198
23,0.0050118723362727,0.990026242526624,0.997375747337592
25,0.0031622776601683,0.99369538163348,0.630461836652041
27,0.0019952623149688,0.996017421658543,0.398257834145654
30,0.001,0.998001998001998,0.199800199800193
33,0.0005011872336272,0.998998127658373,0.10018723416273
35,0.0003162277660168,0.999367744404741,0.0632255595259257
