Vpi_V,Required_Vpk_at_20kHz_V,Required_Vpp_at_20kHz_V,Margin_with_50Vpp_driver_x
2,1.93374398726663,3.86748797453327,12.9282884211254
5,4.83435996816658,9.66871993633317,5.17131536845014
10,9.66871993633317,19.3374398726663,2.58565768422507
15,14.5030799044998,29.0061598089995,1.72377178948338
20,19.3374398726663,38.6748797453327,1.29282884211254
25,24.1717998408329,48.3435996816658,1.03426307369003
