f_mod_kHz,beta_teoria_rad,beta_symulacja_rad,blad_beta_rad,delay_efficiency,J1_beta,abs_J1_beta,phi0_dla_beta_1_84_rad,Omega_zmierzone_deg_s,Blad_Omega_deg_s,LockIn_LPF_mean
5,0.466879500195152,0.466877779047491,-1.72114766122666e-06,0.0768521384150386,0.227136710682252,0.227136710682252,11.9710397000479,1.07566510929213,0.0756651092921268,-0.00308684166355831
10,0.930997409090102,0.930983681811242,-1.37272788599541e-05,0.153249696586652,0.416853357833833,0.416853357833833,6.00327452837601,1.00376058882914,0.00376058882913921,-0.00566514482659701
20,1.84,1.83989151658003,-0.00010848341997427,0.302878868368741,0.581864936842083,0.581864936842083,3.03751795216015,1.00015969453916,0.000159694539163979,-0.00790756047592356
50,4.22590494356799,4.2243516609797,-0.00155328258829623,0.695618101707468,-0.147474407121919,0.147474407121919,1.3225647776298,0.999067867150059,-0.000932132849940537,0.00200224182310502
102.095238387141,6.07503590432029,6.06879257288466,-0.00624333143562961,1,-0.261270806280896,0.261270806280896,0.92,1.00167952824493,0.00167952824493156,0.00355643531989547
150,4.49831449403268,4.48755680819461,-0.0107576858380645,0.740458914956154,-0.230606304055459,0.230606304055459,1.24247271714526,0.994868197804772,-0.00513180219522824,0.00311788528829553
