Tavg_ms,Zero_rate_mean_deg_s,Zero_rate_sigma_deg_s,Zero_rate_sigma_deg_h,Threshold_1sigma_deg_s,Threshold_3sigma_deg_s,Threshold_3sigma_deg_h,Sigma_times_sqrt_T
1,-8.23435933392805e-06,4.70543175908692e-05,0.169395543327129,4.70543175908692e-05,0.0001411629527726,0.508186629981387,1.48798817332074e-06
2,-6.98781348210957e-06,4.0937879599166e-05,0.147376366556997,4.0937879599166e-05,0.0001228136387974,0.442129099670992,1.83079763276874e-06
5,-4.33169080882474e-06,2.4091430275926e-05,0.0867291489933334,2.4091430275926e-05,7.22742908277779e-05,0.26018744698,1.70352137165901e-06
10,-1.19496672229729e-06,1.99991284499952e-05,0.0719968624199828,1.99991284499952e-05,5.99973853499857e-05,0.215990587259949,1.99991284499952e-06
20,-1.40744598808564e-06,1.52468911115725e-05,0.0548888080016611,1.52468911115725e-05,4.57406733347176e-05,0.164666424004983,2.15623601940117e-06
