Ts_us,Omega_measured_deg_s,Omega_error_deg_s,STD_deg_s,Runtime_s
0.2,0.999904586260256,-9.541373974431e-05,1.65035189058005e-06,1.3438083
0.05,0.999995688348365,-4.31165163528036e-06,1.65044954022042e-06,4.6771852
