f_mod_kHz,beta_teoria_rad,beta_symulacja_rad,blad_beta_rad,delay_efficiency,J1_beta,abs_J1_beta,phi0_dla_beta_1_84_rad,Omega_zmierzone_deg_s,Blad_Omega_deg_s,STD_Omega_deg_s,LockIn_LPF_mean,LockIn_LPF_std
5,0.466879500195152,0.466877779047498,-1.72114765401021e-06,0.0768521384150386,0.227136710682252,0.227136710682252,11.9710397000479,0.999998184350254,-1.81564974610637e-06,0.00205179030391423,-0.00308681537956902,6.33049905024954e-06
10,0.930997409090102,0.93098368181125,-1.37272788524045e-05,0.153249696586652,0.416853357833833,0.416853357833833,6.00327452837601,0.999993570381854,-6.42961814623089e-06,6.16704170422687e-05,-0.00566506145910901,3.49202895410992e-07
20,1.84,1.83989151658003,-0.00010848341997427,0.302878868368741,0.581864936842083,0.581864936842083,3.03751795216015,0.999985491388578,-1.45086114221593e-05,1.63210571089318e-06,-0.00790751459204868,1.28999528627647e-08
50,4.22590494356799,4.22435166098049,-0.00155328258750131,0.695618101707468,-0.147474407121919,0.147474407121919,1.3225647776298,0.999032354915473,-0.000967645084527069,5.34218534507348e-08,0.00200226024644651,1.07017266120724e-10
102.095238387141,6.07503590432029,6.06879258090425,-0.00624332341604017,1,-0.261270806280896,0.261270806280896,0.92,1.00149450423415,0.00149450423415076,7.6245951266561e-09,0.00355601234384556,2.70597879311724e-11
150,4.49831449403268,4.48755680820562,-0.0107576858270608,0.740458914956154,-0.230606304055459,0.230606304055459,1.24247271714526,0.994867043029671,-0.00513295697032878,5.96330124464041e-10,0.00311789430746174,1.86800802830669e-12
