Omega_zadane_deg_s,Mean_Omega_deg_s,STD_Omega_deg_s,Bias_deg_s,RMSE_deg_s,SNR_rate_over_STD
0,3.93010447794018e-06,2.53443264761374e-05,3.93010447794018e-06,2.45815519992632e-05,NaN
0.0001,0.000100938340204377,2.39098476500944e-05,9.38340204376983e-07,2.29111594883872e-05,4.18237713027021
0.0005,0.000493182245187865,2.30830807592215e-05,-6.8177548121352e-06,2.31280784596791e-05,21.6608868294261
0.001,0.00100053354011686,1.44798833112595e-05,5.33540116861084e-07,1.3873695759903e-05,69.0613300193107
0.005,0.00500172011008763,2.39237395649559e-05,1.7201100876288e-06,2.29697333590912e-05,208.997426444323
0.01,0.0099946359711968,2.10029067497325e-05,-5.36402880319988e-06,2.08118889726847e-05,476.12457262028
0.1,0.0999995406543435,1.40232247500559e-05,-4.59345656479241e-07,1.34340709190038e-05,7131.02740506255
1,0.999915391526676,2.60962150989271e-05,-8.46084733239586e-05,8.82204917455484e-05,38319.7331953749
