Effective_bandwidth_nm,Worst_DOP_selected_design,Pass_2p5pct_proxy
2,0.573099733857048,0
2.25,0.480045099519809,0
2.5,0.393620621835952,0
2.75,0.316079619676903,0
3,0.248613366621729,0
3.25,0.191589890258853,0
3.5,0.144661725780249,0
3.75,0.107000681042067,0
4,0.0786034912991663,0
4.25,0.0569508627824889,0
4.5,0.040836654862948,0
4.75,0.0298951683472865,0
5,0.0229431840755288,1
5.25,0.0196845412896478,1
5.5,0.0182460772358597,1
5.75,0.017803822380345,1
6,0.0175251946054584,1
6.25,0.0174524318737253,1
6.5,0.0174524343587556,1
6.75,0.0174524281448807,1
7,0.0174524298952612,1
7.25,0.0174524282265102,1
7.5,0.0174524218805963,1
7.75,0.0174524261747494,1
8,0.0174524273450944,1
8.25,0.0174524245831384,1
8.5,0.0174524241196112,1
8.75,0.0174524228907472,1
9,0.0174524193984525,1
9.25,0.017452418316868,1
9.5,0.0174524194234523,1
9.75,0.0174524198202389,1
10,0.0174524198220656,1
10.25,0.0174524183864041,1
10.5,0.0174524185209887,1
10.75,0.0174524188056403,1
11,0.0174524138828986,1
11.25,0.0174524143791163,1
11.5,0.0174524164076508,1
11.75,0.0174524159461893,1
12,0.0174524144813108,1
12.25,0.0174524138882565,1
12.5,0.0174524152048247,1
12.75,0.0174524152330942,1
13,0.0174524118109847,1
13.25,0.0174524123689296,1
13.5,0.0174524144458255,1
13.75,0.0174524134623237,1
14,0.0174524113128376,1
14.25,0.0174524125386551,1
14.5,0.0174524130903643,1
14.75,0.0174524126242517,1
15,0.0174524104095494,1
15.25,0.0174524110866099,1
15.5,0.0174524125903617,1
15.75,0.0174524117904011,1
16,0.0174524111088568,1
16.25,0.0174524119926631,1
16.5,0.0174524116582924,1
16.75,0.0174524112723411,1
17,0.0174524106353335,1
17.25,0.0174524102097514,1
17.5,0.0174524106770162,1
17.75,0.0174524106177814,1
18,0.0174524105865772,1
18.25,0.0174524109600249,1
18.5,0.017452410640619,1
18.75,0.0174524099925815,1
19,0.017452410491499,1
19.25,0.0174524095764729,1
19.5,0.0174524089739755,1
19.75,0.0174524097673896,1
20,0.0174524098899858,1
20.25,0.0174524097055025,1
20.5,0.0174524098893409,1
20.75,0.017452408871285,1
21,0.0174524098920425,1
21.25,0.0174524093666599,1
21.5,0.0174524076698922,1
21.75,0.0174524095090858,1
22,0.0174524091282853,1
22.25,0.017452408483491,1
22.5,0.0174524093177146,1
22.75,0.017452407954496,1
23,0.0174524090362853,1
23.25,0.017452409008987,1
23.5,0.0174524068465105,1
23.75,0.0174524091567345,1
24,0.0174524083845552,1
24.25,0.0174524074862326,1
24.5,0.0174524088722271,1
24.75,0.0174524072617536,1
25,0.0174524081330748,1
25.25,0.0174524085416333,1
25.5,0.0174524065082738,1
25.75,0.0174524085581088,1
26,0.0174524077205733,1
26.25,0.0174524068180032,1
26.5,0.0174524086288984,1
26.75,0.017452406815174,1
27,0.0174524073600812,1
27.25,0.017452408340139,1
27.5,0.0174524064807688,1
27.75,0.0174524080538308,1
28,0.0174524078021066,1
28.25,0.0174524068500959,1
28.5,0.0174524082329938,1
28.75,0.0174524071945081,1
29,0.0174524075760515,1
29.25,0.0174524082360482,1
29.5,0.0174524067031177,1
29.75,0.0174524079884757,1
30,0.0174524079721087,1
