Axis_error_deg,Worst_DOP_guard8nm,Pass_5pct_proxy,Pass_2p5pct_proxy
0,2.02671043869496e-05,1,1
0.1,0.00349068805351569,1,1
0.2,0.00698127861662152,1,1
0.3,0.0104717963280746,1,1
0.4,0.0139621894973683,1,1
0.5,0.0174524137631931,1,1
0.6,0.0209424259876004,1,1
0.7,0.0244321833841714,1,1
0.8,0.0279216433004497,1,0
0.9,0.0314107631457646,1,0
1,0.0348995003626672,1,0
1.1,0.0383878124142341,1,0
1.2,0.0418756567779752,1,0
1.3,0.0453629909427928,1,0
1.4,0.0488497724074686,1,0
1.5,0.0523359586799575,0,0
1.6,0.055821507277144,0,0
1.7,0.0593063757248693,0,0
1.8,0.0627905215581149,0,0
1.9,0.0662739023212993,0,0
2,0.0697564755686358,0,0
