Omega_zadane_deg_s,Omega_liniowe_deg_s,Omega_asin_deg_s,Blad_liniowy_deg_s,Blad_asin_deg_s
-20,-18.1524509125569,-20.0080902644268,1.84754908744312,-0.00809026442682281
-5,-4.97034934036731,-5.00088303736748,0.0296506596326882,-0.000883037367481521
-1,-0.999762388517236,-1.00016840416899,0.000237611482764466,-0.000168404168987779
-0.1,-0.0999997623717047,-0.100016807604984,2.37628295290948e-07,-1.68076049841537e-05
0,4.31932600797325e-14,4.32013758100425e-14,4.31932600797325e-14,4.32013758100425e-14
0.1,0.0999997623717915,0.100016807605071,-2.37628208513141e-07,1.68076050710286e-05
1,0.999762388517322,1.00016840416908,-0.000237611482678202,0.000168404169075487
5,4.97034934036741,5.00088303736757,-0.0296506596325941,0.000883037367565898
20,18.152450912557,20.008090264427,-1.84754908744301,0.00809026442695426
