Controller_BW_Hz,Omega_step_deg_s,Feedback_mean_deg_s,Feedback_error_deg_s,Residual_mean_deg_s,Residual_STD_deg_s,Settling_2pct_ms,Selected_actuator_reset_frequency_kHz,Delta_phi_feedback_mean_rad
30,20,19.9986728647919,-0.00132713520814676,0.0016154660335292,0.00155293963141819,24.7,4.88950567451939,-0.752279702237831
50,20,19.9999189177215,-8.10822784629295e-05,1.85095378888739e-06,5.06601017683602e-06,14.1,4.88981032387846,-0.75232657436446
100,20,20.0000039407844,3.94078435661527e-06,1.59463297692139e-09,1.65744734765846e-06,12.9,4.88983111129525,-0.752329772632906
