Controller_nominal_BW_Hz,Omega_step_deg_s,Kp,Ki_per_s,Settling_2pct_ms,Overshoot_percent,Residual_rate_RMS_deg_s,Feedback_estimate_RMS_error_deg_s,Controller_saturated
10,1,0.5,62.8318530717959,82.5,0.0123847026862078,3.92109728440262e-05,3.92486753511343e-05,0
10,20,0.5,62.8318530717959,82.5,0.000505795202343506,0.000100390779667729,0.000100094422715082,0
30,1,0.5,188.495559215388,26.6,0.0165693712079751,4.4227330440098e-05,4.42381015444923e-05,0
30,20,0.5,188.495559215388,26.6,0.000726819335437057,3.96750633647076e-05,3.96816973354634e-05,0
50,1,0.5,314.159265358979,15.4,0.0154378617587936,4.93838802620024e-05,4.93881524796251e-05,0
50,20,0.5,314.159265358979,15.4,0.000890140464484546,5.2164284138594e-05,5.2161278692649e-05,0
100,1,0.5,628.318530717959,7,0.0211577036737687,6.07483640366498e-05,6.07058752364568e-05,0
100,20,0.5,628.318530717959,7,0.000958258282075519,5.54688038404402e-05,5.55916928872073e-05,0
