DAC_update_MSps,Phase_accumulator_bits,Rate_word_LSB_deg_s,Rate_word_LSB_deg_h,Samples_per_optical_2pi_at_20deg_s
0.5,24,2.43790246179094e-05,0.087764488624474,20.4506080941992
0.5,28,1.52368903861934e-06,0.00548528053902963,20.4506080941992
0.5,32,9.52305649137088e-08,0.000342830033689352,20.4506080941992
1,24,4.87580492358189e-05,0.175528977248948,40.9012161883984
1,28,3.04737807723868e-06,0.0109705610780593,40.9012161883984
1,32,1.90461129827418e-07,0.000685660067378703,40.9012161883984
2,24,9.75160984716378e-05,0.351057954497896,81.8024323767969
2,28,6.09475615447736e-06,0.0219411221561185,81.8024323767969
2,32,3.80922259654835e-07,0.00137132013475741,81.8024323767969
