Phase_span_cycles_2pi,Phase_span_rad,Reset_frequency_at_20deg_s_kHz,Min_actuator_BW_for_10pct_reset_kHz
1,6.28318530717959,24.4491507390347,85.5720275866215
2,12.5663706143592,12.2245753695174,42.7860137933107
4,25.1327412287183,6.11228768475868,21.3930068966554
8,50.2654824574367,3.05614384237934,10.6965034483277
