P_source_mW,Pdet_scale_uW,Pdet_avg_uW,Pdet_peak_theory_uW,Peak_within_100uW_design_target
0.5,22.6923784231313,29.8743080147129,45.3847568462627,1
1,45.3847568462627,59.7486160294258,90.7695136925254,1
2,90.7695136925254,119.497232058852,181.539027385051,0
3,136.154270538788,179.245848088277,272.308541077576,0
