Depol_residual,Zero_mean_deg_s,Zero_STD_deg_s,Zero_STD_deg_h,Zero_RMS_deg_s,Median_abs_Omega_deg_s,P95_abs_Omega_deg_s,Max_abs_Omega_deg_s,Mean_visibility
1,8.14499293347592e-05,0.000239568648505946,0.862447134621404,0.000247300569081946,6.94865673423301e-05,0.000534396120525328,0.000787928298371558,0.987227974428415
0.2,-1.73358977176121e-05,6.94014098164251e-05,0.24984507533913,6.98302316332799e-05,2.60878042258876e-05,0.000151747165793973,0.000173079423842478,0.991030170574417
0.1,-7.36276964525325e-06,4.05433305028848e-05,0.145955989810385,4.01968150815696e-05,3.2021436519116e-05,7.7516560870259e-05,7.87136788725662e-05,0.992295098052261
0.05,-4.24535635200823e-06,2.40160418706994e-05,0.0864577507345178,2.37898046300083e-05,1.69080458789663e-05,3.88210310363633e-05,4.11345718453155e-05,0.993210364005983
