Depol_residual,Vpol_mean,Vpol_min,Vpol_STD,Phi_pol_mean_rad,Phi_pol_STD_rad,Phi_pol_max_abs_rad,Zero_rate_mean_deg_s,Zero_rate_STD_deg_s,Omega_mean_at_1deg_s,Scale_error_percent
1,0.990787961403137,0.983638037271242,0.00283656509054797,-2.51629051391308e-07,6.07181756958382e-06,1.2937218596254e-05,-9.57677057957576e-06,0.000152711630567377,0.997062650044291,-0.293734995570905
0.5,0.992241671518308,0.988666709452361,0.00141828254527398,-1.25814525695654e-07,3.03590878479191e-06,6.46860929812701e-06,-5.49037672505695e-06,8.29652836188758e-05,0.998503860757417,-0.149613924258252
0.2,0.993113897587411,0.991683912761032,0.000567313018109593,-5.03258102782615e-08,1.21436351391676e-06,2.5874437192508e-06,-1.70541169263006e-06,3.0333202716479e-05,0.999376617144388,-0.0623382855611809
0.1,0.993404639610445,0.992689647197256,0.000283656509054797,-2.51629051391308e-08,6.07181756958382e-07,1.2937218596254e-06,-2.42335523420892e-06,1.81284728656775e-05,0.999653364675019,-0.0346635324981248
0.05,0.993550010621962,0.993192514415368,0.000141828254527398,-1.25814525695654e-08,3.03590878479191e-07,6.46860929812701e-07,1.15080171264549e-06,1.15241870037923e-05,0.999797005996125,-0.0202994003874579
0,0.993695381633501,0.99369538163348,2.13163087181389e-14,0,0,0,-3.69592380199405e-11,1.6512221453395e-06,0.999887991050491,-0.0112008949509468
