Former_material,Ambient_ramp_C_per_min,Outer_thermal_time_constant_s,Inner_effective_time_constant_s,Max_sequential_Shupe_deg_h,Max_QAD2pct_proxy_deg_h,RMS_QAD2pct_proxy_deg_h,Max_allowed_winding_asymmetry_percent,Pass_thermal_budget
Al6061-T6,1,15,15.3621556886228,0.443533839406783,0.0088706767881356,0.0022107145961312,27.0554328302205,1
Al6061-T6,1,30,30.3621556886228,0.222736118277581,0.0044547223655516,0.0015666331574939,53.8754113737638,1
Al6061-T6,1,60,60.3621556886228,0.111612304913963,0.0022322460982792,0.0011079283812885,107.515027211832,1
Al6061-T6,1,120,120.362155688623,0.055867459886686,0.0011173491977337,0.0007439430638458,214.794086295299,1
Al6061-T6,5,15,15.3621556886228,2.21766919698507,0.0443533839397015,0.0110357950170311,5.41108656616326,1
Al6061-T6,5,30,30.3621556886228,1.11368059123297,0.0222736118246594,0.0074605634369201,10.7750822762518,1
Al6061-T6,5,60,60.3621556886228,0.558061524576455,0.0111612304915291,0.0042692787191768,21.5030054421105,1
Al6061-T6,5,120,120.362155688623,0.279336981777856,0.0055867396355571,0.0020149254179533,42.9588661108362,1
Invar36,1,15,24.8769642857143,9.25415880613452,0.18508317612269,0.0525536396059094,1.29671429369088,0
Invar36,1,30,39.8769642857143,5.25405087081676,0.105081017416335,0.0396915622433485,2.28395200104611,1
Invar36,1,60,69.8769642857143,2.82147839125458,0.0564295678250917,0.0290571832898277,4.25308945735507,1
Invar36,1,120,129.876964285714,1.46556418054662,0.0293112836109325,0.0197334058749639,8.18797304088331,1
Invar36,5,15,24.8769642857143,46.2707940307086,0.925415880614172,0.260291979749728,0.259342858737975,0
Invar36,5,30,39.8769642857143,26.2702543539924,0.525405087079848,0.183711427799506,0.456790400210811,0
Invar36,5,60,69.8769642857143,14.1073919562401,0.282147839124803,0.108122617983934,0.85061789147299,0
Invar36,5,120,129.876964285714,7.32207845416492,0.146441569083298,0.0524447142557929,1.63887891602339,0
G10-FR4,1,15,166.666666666667,33.0738188579365,0.661476377158731,0.367379373311019,0.362824748225905,0
G10-FR4,1,30,181.666666666667,27.9972345475589,0.559944690951177,0.336403623195276,0.428613761106141,0
G10-FR4,1,60,211.666666666667,21.3695630275297,0.427391260550593,0.28466649012025,0.561546344421775,0
G10-FR4,1,120,271.666666666667,14.5680084120819,0.291360168241638,0.209038249248461,0.823722753348211,0
G10-FR4,5,15,166.666666666667,165.369094289743,3.30738188579486,1.23141412104427,0.0725649496451544,0
G10-FR4,5,30,181.666666666667,139.986172737894,2.79972345475788,1.04015725618348,0.0857227522211673,0
G10-FR4,5,60,211.666666666667,106.847815137797,2.13695630275595,0.764400530627128,0.112309268884198,0
G10-FR4,5,120,271.666666666667,67.5761765529178,1.35152353105836,0.469427006233666,0.17757737433699,0
POM-C,1,15,185.564516129032,33.7252544540948,0.674505089081895,0.389050430039622,0.355816440653809,0
POM-C,1,30,200.564516129032,28.9928253454782,0.579856506909563,0.357752303927353,0.413895501973614,0
POM-C,1,60,230.564516129032,22.5468911294311,0.450937822588622,0.304292176608327,0.532224151485615,0
POM-C,1,120,290.564516129032,15.6663195679119,0.313326391358237,0.225263642129691,0.765974417155303,0
POM-C,5,15,185.564516129032,168.626272270393,3.37252544540786,1.25496372689181,0.0711632881307959,0
POM-C,5,30,200.564516129032,144.964126727335,2.89928253454669,1.07019793823771,0.0827791003947548,0
POM-C,5,60,230.564516129032,112.72674029097,2.25453480581939,0.797970187217407,0.106452115700549,0
POM-C,5,120,290.564516129032,71.8135166784073,1.43627033356815,0.498710081309506,0.167099461982038,0
FusedSilica benchmark,1,15,43.0563224637681,18.3708603882607,0.367417207765214,0.123551418148275,0.653208382535432,0
FusedSilica benchmark,1,30,58.0563224637681,11.9368236868746,0.238736473737492,0.100359792816159,1.00529255644405,0
FusedSilica benchmark,1,60,88.0563224637681,7.04913861629662,0.140982772325932,0.0770480680128779,1.7023356544951,0
FusedSilica benchmark,1,120,148.056322463768,3.8832838536258,0.0776656770725161,0.0532007058391092,3.0901681289138,1
FusedSilica benchmark,5,15,43.0563224637681,91.8543019413678,1.83708603882736,0.589073412441264,0.130641676506995,0
FusedSilica benchmark,5,30,58.0563224637681,59.6841184343104,1.19368236868621,0.436568566386719,0.20105851128902,0
FusedSilica benchmark,5,60,88.0563224637681,35.2456930814795,0.704913861629591,0.269428784260172,0.340467130899055,0
FusedSilica benchmark,5,120,148.056322463768,19.3110824448602,0.386221648897204,0.136919346122042,0.621404834983442,0
