Depol_residual,Run,Theta_deg,Delta_rad,Omega_zero_deg_s,Omega_signal_deg_s,Paired_delta_Omega_deg_s,Mean_visibility
0.1,1,-4.10893988063703,-0.437950057915789,-9.98223461514531e-08,0.000105284850180528,0.00010538467252668,0.993512647160969
0.1,2,-26.9408963921622,-0.235891361545735,-3.85782366481373e-05,6.02134348595549e-05,9.87916715076922e-05,0.991908441381421
0.1,3,23.2908882774107,0.123985552200384,5.24865107052092e-05,0.000152095024533225,9.96085138280159e-05,0.993293667770437
0.1,4,-27.3857988466488,0.37618940947681,7.52179632956696e-05,0.000166789022066881,9.15710587712114e-05,0.989115313233352
0.1,5,16.7018205552814,-0.122189850010387,-3.20784080918449e-05,6.95790258747111e-05,0.000101657433966556,0.993471412205198
0.1,6,13.6825972709553,-0.102025070666272,-2.92984148250783e-05,6.53761031941623e-05,9.46745180192406e-05,0.993586427932884
0.1,7,-29.3595318525406,-0.215865366271033,-4.90888029254774e-05,4.59353533413712e-05,9.50241562668486e-05,0.992016284802843
0.1,8,27.6561773203387,-0.102347529959859,-2.84083718378025e-05,6.91460608207916e-05,9.75544326585941e-05,0.993344100468533
0.1,9,3.98770003070756,-0.484698079064969,5.65902186811234e-05,0.000151160345584955,9.45701269038319e-05,0.99348751106709
0.1,10,-8.19376350652481,0.226529465834898,2.60371967394127e-06,0.000103134013979406,0.000100530294305465,0.993495683306379
0.1,11,-12.7968985757532,-0.199111461880365,3.52480326589396e-05,0.000135109668926458,9.98616362675185e-05,0.993331962807697
0.1,12,-9.27888772140767,0.470830846688624,1.82140440825905e-05,0.00012097220959591,0.00010275816551332,0.992654340361687
0.1,13,12.7585753653029,0.269001442261699,2.05088419601906e-05,0.000121268815860313,0.000100759973900123,0.993041987179344
0.1,14,15.4041755611662,-0.225116757834336,-1.60153377467266e-05,8.03859051610662e-05,9.64012429077928e-05,0.993043841368375
0.1,15,-19.1099191423279,0.333401825864016,7.05228999917281e-05,0.000167215815015231,9.66929150235033e-05,0.99163730645341
0.1,16,-29.5976292008073,-0.171142181416043,-6.32060644366732e-05,3.84820105700678e-05,0.000101688075006741,0.992626478895085
0.1,17,-27.0748640718781,0.0558281111452338,-3.33771172804363e-06,9.61997141693842e-05,9.95374258974279e-05,0.993593695891712
0.1,18,-29.0327471533893,0.0261220974575634,-2.58384877410126e-05,7.64338488417556e-05,0.000102272336582768,0.993670966756783
