pol_nr_scale,Depol_residual,N_runs,Zero_mean_deg_s,Zero_STD_deg_s,Zero_STD_deg_h,Zero_RMS_deg_s,P95_abs_Omega_deg_s,Max_abs_Omega_deg_s
0,0.05,20,-9.30703455646656e-06,2.12384383845842e-05,0.0764583781845032,2.26965545358375e-05,4.34039990632252e-05,4.65422879559449e-05
5e-05,0.05,20,-9.36877791849317e-06,2.09181132887676e-05,0.0753052078395633,2.24381593845733e-05,4.26721719775347e-05,4.51261974488916e-05
0.0001,0.05,20,-9.2606505819558e-06,2.12170593018751e-05,0.0763814134867505,2.26591199421614e-05,4.18253680274374e-05,4.32567892303951e-05
0.0002,0.05,20,-9.66887834563542e-06,2.39752953833131e-05,0.0863110633799273,2.52899085381104e-05,4.10599700924955e-05,4.73408748542823e-05
0.0004,0.05,20,-9.99279958844722e-06,3.44025837273623e-05,0.123849301418504,3.49885550920745e-05,6.60503517908882e-05,7.2833739562649e-05
0.0008,0.05,20,-1.00116817641052e-05,6.27727933885527e-05,0.22598205619879,6.19966725843491e-05,0.000125515608303704,0.000143811781690095
