Depol_residual,N_pairs,Zero_mean_deg_s,Zero_STD_deg_s,Zero_STD_deg_h,Zero_3sigma_deg_h,Signal_mean_deg_s,Signal_STD_deg_s,Signal_bias_deg_s,Unpaired_class_separation_sigma,Paired_delta_mean_deg_s,Paired_delta_STD_deg_s,Paired_delta_bias_deg_s,Paired_delta_SNR,Mean_visibility,P05_visibility
0.1,30,-7.11400215086229e-07,4.3415833854428e-05,0.156297001875941,0.468891005627823,9.89369178471151e-05,4.29165300306113e-05,-1.06308215288491e-06,2.30843832202989,9.96483180622013e-05,3.30159442641914e-06,-3.51681937798705e-07,30.1819230526934,0.992696627344777,0.990113336071258
0.075,30,-3.17836161039757e-07,3.680310830276e-05,0.132491189889936,0.397473569669809,9.98393116940862e-05,3.69410739888816e-05,-1.60688305913842e-07,2.7163376655202,0.000100157147855126,3.86531259240987e-06,1.57147855125845e-07,25.912043410036,0.992946559244037,0.991008848738443
0.05,30,1.80383519853819e-06,3.0290823396418e-05,0.109046964227105,0.327140892681314,0.000101541145344844,3.12854449972179e-05,1.54114534484448e-06,3.23905278538468,9.97373152263055e-05,3.41734864681293e-06,-2.62684773694466e-07,29.1855822963947,0.993196491143296,0.991904361405629
0.025,30,1.69624685130674e-06,2.65820260750126e-05,0.0956952938700454,0.287085881610136,0.000101486460330365,2.70171615856372e-05,1.48646033036468e-06,3.72347001006518,9.97902134790581e-05,4.00469655283369e-06,-2.09786520941896e-07,24.918472788107,0.993445923042815,0.992799874072815
0,30,2.28804377509895e-06,2.21672224064193e-05,0.0798020006631095,0.239406001989328,0.000102873972575057,2.24619085089612e-05,2.87397257505663e-06,4.50748673889791,0.000100585928799958,3.50842812057489e-06,5.85928799957977e-07,28.6702642649136,0.9936953816335,0.99369538163348
